index_items,product_name,category_name,sub_category,brand_name,sale_price,market_price,type_product,rating_product,price_segment
8159,Taft Power Styling Gel - Mega Strong 5,Beauty & Hygiene,Men's Grooming,Schwarzkopf,425,425,Hair Care & Styling,5,Medium
8160,Beyond Forever Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,David Beckham,2320,2900,Eau De Toilette,,High
8161,Bisibele Bath Mix,Snacks & Branded Foods,Ready To Cook & Eat,Grami Superfoods,118,118,Breakfast & Snack Mixes,,Medium
8209,Chocolate - 52% Cocoa Dark Chocolate Couverture Premium From-The-Bean Chocolate Slab,Gourmet & World Food,Cooking & Baking Needs,Cocoacraft,330,330,Cooking Chocolate Cocoa,4.7,Medium
8210,Plastic Dustbin - Green,Cleaning & Household,Bins & Bathroom Ware,DP,339,629,Dustbins,,Medium
8215,Stay The Day Finishing Mist,Beauty & Hygiene,Skin Care,ColorBar,807.5,850,Body Care,,High
8263,Honey - Eucalyptus,Gourmet & World Food,Sauces Spreads & Dips,Under The Mango Tree,265,265,Honey & Maple Syrup,3.7,Medium
8264,American Almonds - Jumbo,Foodgrains Oil & Masala,Dry Fruits,Grocery Farm,568,800,Almonds,4,High
8265,Pink City Breakfast Granola,Gourmet & World Food,Cereals & Breakfast,The Nibble Box,1295,1295,Cereal & Granola Bars,,High
8266,Malai Paneer,Bakery Cakes & Dairy,Dairy,Amul,71.28,75,Paneer Tofu & Cream,3.9,Low
8267,Age Miracle Wrinkle Corrector Day Cream - SPF 18 PA++,Beauty & Hygiene,Skin Care,Ponds,239.04,249,Face Care,4.3,Medium
8268,Skin-Fit Tablets - Improves Skin Health,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,63,63,Everyday Medicine,5,Low
8317,Face Wash For Acne & Pollution Control - Activated Charcoal Ginseng & Aloe Vera,Beauty & Hygiene,Skin Care,Super Smelly,284.25,379,Face Care,3,Medium
8318,Mackerel In Oil,Eggs Meat & Fish,Fish & Seafood,Golden Prize,113.05,119,Canned Seafood,,Medium
8319,Triphala Guggulu Tablets - For Treating Piles,Beauty & Hygiene,Health & Medicine,Baidyanath,115,115,Ayurveda,,Medium
8320,Super Oats - 100% Rolled Oats,Gourmet & World Food,Cereals & Breakfast,Yoga bar,155.22,199,Imported Oats & Porridge,,Medium
8371,Utensils-Dish Drainer/Basket/Drying Rack - Round Large Stainless Steel VR10246,Kitchen Garden & Pets,Kitchen Accessories,HAZEL,2299,2299,Kitchen Tools & Other Accessories,4,High
8372,Lighten & Smooth Under Eye Gel,Beauty & Hygiene,Skin Care,Kaya Clinic,343,490,Eye Care,2.8,Medium
8373,Executive Storage Lunch Container - Stainless Steel Medium Blue,Kitchen Garden & Pets,Steel Utensils,Signoraware,132,132,Steel Storage Containers,4.6,Medium
8375,Vanilla Oven Cake MixÃ‚ - Moist Supreme,Snacks & Branded Foods,Ready To Cook & Eat,Pillsbury,140.25,165,Home Baking,4.1,Medium
8376,French Press Coffee - 100% Coffee & 0% Chicory,Gourmet & World Food,Drinks & Beverages,Sidapur,540,540,Coffee & Pre-Mix,,High
8424,Krakengard - Deodorant Body Spray,Beauty & Hygiene,Fragrances & Deos,Old Spice,186.75,249,Men's Deodorants,3.8,Medium
8425,Opalware Dinner Set - Scarlet Blooms,Kitchen Garden & Pets,Crockery & Cutlery,LaOpala,1239,1375,Dinner Sets,4.8,High
8426,White Sandwich Bread - Safe Preservative Free,Bakery Cakes & Dairy,Breads & Buns,Fresho,39,39,Milk White & Sandwich,,Low
8427,Pizza Cutter - Stainless Steel,Kitchen Garden & Pets,Kitchen Accessories,Ritu,69,95,Choppers & Graters,4.3,Low
8429,Organic Dal - Urad Black (Split),Foodgrains Oil & Masala,Organic Staples,24 Mantra,135,135,Organic Dals & Pulses,4,Medium
8430,Induction Handi - With Lid Hard Anodized Ebony,Kitchen Garden & Pets,Cookware & Non Stick,Wonderchef,1999,3000,Cook And Serve,3.1,High
8476,The Pug Groom Box,Kitchen Garden & Pets,Pet Food & Accessories,Captain Zack,2250,2250,Pet Cleaning & Grooming,,High
8477,Turmeric Powder/Arisina Pudi - Pesticide Free,Foodgrains Oil & Masala,Masalas & Spices,Safe Harvest,72,75,Powdered Spices,3.8,Low
8478,Glass Bottle With Removable Fabric Cover - Grey BB1322,Kitchen Garden & Pets,Storage & Accessories,DP,209,389,Water & Fridge Bottles,,Medium
8479,Mouth Freshener - Madrasi Sounff,Foodgrains Oil & Masala,Dry Fruits,Dizzle,102,102,Mukhwas,4.2,Medium
8480,Almond Oil B P,Beauty & Hygiene,Hair Care,Wells,350,350,Hair Oil & Serum,,Medium
8481,Plastic Casserole For Roti/Chapati - Sonic Green,Kitchen Garden & Pets,Flask & Casserole,Asian,459,616,Casserole,4.1,Medium
8530,100% Natural & Pure Groundnut Oil - Unrefined Cold-Pressed,Foodgrains Oil & Masala,Edible Oils & Ghee,Nature Way,1400,1400,Other Edible Oils,5,High
